,Brands,Model,Processor,RAM,ROM,Battery,Screen_Size,Prices
444,Samsung,Galaxy,2.2,6,64,8000,10.4,25999
445,Motorola,Moto,2.0,4,128,7100,14.6,19999
446,Lenovo,Tab,2.2,4,64,5299,10.28,23999
447,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
448,Realme,Pad,2.0,4,64,8040,10.95,25999
449,Apple,iPad,2.2,4,32,7040,10.2,28990
450,Xiaomi,Mi,2.0,4,64,5299,10.28,39999
451,OnePlus,Pad,3.2,4,64,5299,10.28,39999
452,Xiaomi,Mi,2.0,8,128,8040,12.4,29107
453,Nokia,T21,2.2,4,64,5299,10.28,18999
454,Samsung,Galaxy,2.0,3,256,7100,10.36,25999
455,Xiaomi,Redmi,2.96,4,64,5299,10.28,16999
456,Xiaomi,Redmi,96.0,4,64,5299,10.28,19499
457,Realme,Pad,3.2,6,128,8340,10.4,16490
458,Samsung,Galaxy,2.0,6,128,8720,10.61,22990
459,Samsung,Galaxy,2.2,4,64,5299,10.28,20999
460,Vivo,Pad,2.0,4,256,5299,10.28,28990
461,Realme,Pad,2.65,6,64,7100,10.61,14999
462,Realme,Pad,65.0,6,64,8720,10.4,27999
463,Xiaomi,Mi,3.2,4,64,5299,10.28,28448
464,Apple,iPad,2.0,12,256,11200,10.58,62900
465,Realme,Pad,2.84,4,64,8340,10.5,19999
466,Xiaomi,Pad,84.0,8,128,8600,10.4,34999
467,Samsung,Galaxy,2.96,4,64,5299,10.28,111999
468,Xiaomi,Mi,96.0,6,128,10090,10.95,28448
469,Realme,Pad,2.3,4,64,5299,10.28,16490
