,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
328,APPLE,iPad,3rd Generation) 8 GB RAM 256 GB ROM 11 inches with Wi-Fi+5G ,4,64,7040,27.94,94900
329,SAMSUNG,Galaxy,Blue),2,64,2685,26.42,31999
330,APPLE,iPad,5th gen) 256 GB ROM 10.9 Inch with Wi-Fi+5G ,2,64,2685,27.69,82900
331,DELL,Inspiron,16 GB/512 GB SSD/Windows 10) Inspiron 5410 2 in 1 Laptop,3,64,7040,35.56,79490
332,APPLE,iPad,3rd Generation) 8 GB RAM 512 GB ROM 11 inches with Wi-Fi+5G ,2,256,7000,27.94,107745
333,APPLE,iPad,6th Gen) 256 GB ROM 8.3 inch with Wi-Fi Only ,2,256,2685,21.08,60900
334,APPLE,iPad,5th Generation) 8 GB RAM 512 GB ROM 12.9 inches with Wi-Fi Only ,3,32,3500,32.77,115900
335,DELL,Inspiron,8 GB/512 GB SSD/Windows 10 Home) INSP 5406 2in1 2 in 1 Laptop,2,128,2685,35.56,74990
336,SAMSUNG,Galaxy,Pink),2,256,2685,26.42,31999
337,Lenovo,Yoga,Iron Gr...,4,32,3500,25.65,19999
338,APPLE,iPad,3rd Generation) 8 GB RAM 256 GB ROM 11 inches with Wi-Fi+5G ,2,256,2685,27.94,91900
339,I,Kall,"Blue, 64 GB)",2,256,2685,16.51,7779
340,APPLE,iPad,5th gen) 256 GB ROM 10.9 Inch with Wi-Fi+5G ,2,128,2685,27.69,82900
341,APPLE,iPad,5th gen) 256 GB ROM 10.9 Inch with Wi-Fi+5G ,1,32,5100,27.69,82900
342,APPLE,iPad,5th gen) 256 GB ROM 10.9 Inch with Wi-Fi+5G ,2,256,2685,27.69,82900
343,I,Kall,"Dark Blue, 64 GB)",8,64,7040,15.9,6283
344,iball,Slide,Coyote Brown),4,256,6200,17.78,5999
345,iball,Slide,Biscuit Gold),4,512,10090,17.78,8998
346,APPLE,iPad,3rd Generation) 8 GB RAM 256 GB ROM 11 inches with Wi-Fi Only ,2,64,2685,27.94,79900
347,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,2,256,2685,35.56,61790
348,APPLE,iPad,3rd Generation) 8 GB RAM 128 GB ROM 11 inches with Wi-Fi+5G ,2,512,2685,27.94,85900
349,Lenovo,Tab,Iron Grey),2,64,2685,20.32,13999
